,health index
0,0.9075955748558044
1,0.8988341689109802
2,0.702070415019989
3,0.9282560348510742
4,0.9566898941993713
5,0.8711286187171936
6,0.9559343457221985
7,0.6225032210350037
8,0.747965395450592
9,0.9098148941993713
10,0.9302771091461182
11,0.9553787708282471
12,0.9112740755081177
13,0.7447531819343567
14,0.9711759686470032
15,0.9710322618484497
16,0.9691371321678162
17,0.9668241143226624
18,0.8993485569953918
19,0.9873326420783997
20,0.9672116041183472
21,0.9687569737434387
22,0.9452254176139832
23,0.9776175618171692
24,0.8982740044593811
25,0.9661790728569031
26,0.9750158190727234
27,0.9713427424430847
28,0.9821898937225342
29,0.9616428017616272
30,0.9420906901359558
31,0.9686508178710938
32,0.9742743968963623
33,0.9678232669830322
34,0.8793801665306091
35,0.9716756343841553
36,0.9703038930892944
37,0.9744362831115723
38,0.9757499098777771
39,0.9803863167762756
40,0.9844008088111877
41,0.9693421125411987
42,0.9501110315322876
43,0.9779625535011292
44,0.9529105424880981
45,0.9753453731536865
46,0.9567610025405884
47,0.8776905536651611
48,0.9243626594543457
49,0.8393122553825378
50,0.8857146501541138
51,0.8820525407791138
52,0.9498888254165649
53,0.8590968251228333
54,0.8780834674835205
55,0.8947538137435913
56,0.9236071109771729
57,0.8780391812324524
58,0.9107533693313599
59,0.9430134296417236
60,0.8331792950630188
61,0.905745267868042
62,0.8215242624282837
63,0.8539718985557556
64,0.9510769248008728
65,0.9265597462654114
66,0.9039850831031799
67,0.9483285546302795
68,0.9399969577789307
69,0.9437205195426941
70,0.9457736015319824
71,0.9363681077957153
72,0.9631693363189697
73,0.9227147102355957
74,0.9151838421821594
75,0.9247664213180542
76,0.9417413473129272
77,0.9251880645751953
78,0.9316469430923462
79,0.7788532972335815
80,0.8825093507766724
81,0.9491662383079529
82,0.9443640112876892
83,0.946061909198761
84,0.9235377311706543
85,0.9288919568061829
86,0.8812192678451538
87,0.9611876010894775
88,0.9574614763259888
89,0.9444903135299683
90,0.9430160522460938
91,0.9149688482284546
92,0.935725748538971
93,0.8576134443283081
94,0.8895992040634155
95,0.8210746645927429
96,0.884287416934967
97,0.8716990351676941
98,0.9361433982849121
99,0.9278978705406189
100,0.901420533657074
101,0.8502780795097351
102,0.9514585733413696
103,0.9192118644714355
104,0.8889951705932617
105,0.9589053988456726
106,0.951073944568634
107,0.9540882110595703
108,0.9435922503471375
109,0.9247612357139587
110,0.8660644292831421
111,0.9396882057189941
