,health index
0,0.9628138542175293
1,0.9683415293693542
2,0.9438503980636597
3,0.9621741771697998
4,0.976610541343689
5,0.9768805503845215
6,0.9706994295120239
7,0.9725946187973022
8,0.9767370820045471
9,0.9196297526359558
10,0.9703523516654968
11,0.9834399223327637
12,0.9729212522506714
13,0.9705883860588074
14,0.972387969493866
15,0.9638082385063171
16,0.9824950695037842
17,0.9661216139793396
18,0.9671027064323425
19,0.96451336145401
20,0.9710497856140137
21,0.9622305035591125
22,0.9809138178825378
23,0.9688062071800232
24,0.9741901159286499
25,0.9637049436569214
26,0.9741833209991455
27,0.979650616645813
28,0.9736151695251465
29,0.9612481594085693
30,0.9746251106262207
31,0.9699263572692871
32,0.9732851982116699
33,0.9654122591018677
34,0.9774489998817444
35,0.9762058258056641
36,0.9671754837036133
37,0.958631694316864
38,0.9752001166343689
39,0.9734663963317871
40,0.9644951820373535
41,0.9723500609397888
42,0.9730725288391113
43,0.9599992632865906
44,0.9582473039627075
45,0.9628507494926453
46,0.9735187888145447
47,0.9548419117927551
48,0.9772273898124695
49,0.9666219353675842
50,0.947982907295227
51,0.9787742495536804
52,0.9441429376602173
53,0.9635055661201477
54,0.9681601524353027
55,0.9717265367507935
56,0.9437506794929504
57,0.9800184369087219
58,0.9666220545768738
59,0.9732570648193359
60,0.9726506471633911
61,0.981138288974762
62,0.9617846608161926
63,0.9312485456466675
64,0.9505760073661804
65,0.9759092926979065
66,0.9772189855575562
67,0.9542475342750549
68,0.9562942981719971
69,0.9600000381469727
70,0.9663782715797424
71,0.9513185620307922
72,0.9693683981895447
73,0.9589661359786987
74,0.9617162942886353
75,0.9749209880828857
76,0.9473149180412292
77,0.954912006855011
78,0.9743053317070007
79,0.9615980982780457
80,0.9436353445053101
81,0.9667890071868896
82,0.9633435606956482
83,0.9670276641845703
84,0.9685073494911194
85,0.9637589454650879
86,0.9534845352172852
87,0.9553596377372742
88,0.969822883605957
89,0.9644957184791565
90,0.9720705151557922
91,0.9760047793388367
92,0.9679311513900757
93,0.9581924676895142
94,0.9783948659896851
95,0.9732942581176758
96,0.9719060063362122
97,0.9482973217964172
98,0.9489522576332092
99,0.9611881375312805
100,0.967790961265564
101,0.9708480834960938
102,0.9699984788894653
103,0.9667035937309265
104,0.9717510342597961
105,0.9411023259162903
106,0.9502922892570496
107,0.9776895046234131
108,0.9741297364234924
109,0.9628700017929077
110,0.9705002307891846
111,0.9273863434791565
112,0.9792172908782959
113,0.9797309041023254
114,0.9676171541213989
115,0.9609023332595825
116,0.9719183444976807
117,0.9534453749656677
118,0.9775710105895996
119,0.9638694524765015
120,0.9660604596138
121,0.9749266505241394
122,0.9732940196990967
123,0.9582555294036865
124,0.9337283372879028
125,0.9517542719841003
126,0.9654693603515625
127,0.9683141112327576
128,0.9275620579719543
129,0.9597698450088501
130,0.9683124423027039
131,0.9661926031112671
132,0.9692714214324951
133,0.9506747722625732
134,0.9680352210998535
135,0.9554330110549927
136,0.9398397207260132
137,0.962835967540741
138,0.947217583656311
139,0.9608231782913208
140,0.9751803874969482
141,0.9735455513000488
142,0.954239547252655
143,0.9574229717254639
144,0.9628288745880127
145,0.944275438785553
146,0.9692937135696411
147,0.9506451487541199
148,0.9256832003593445
149,0.9691151976585388
150,0.9640077948570251
151,0.9710680246353149
152,0.9740847945213318
153,0.9650779366493225
154,0.9576894640922546
155,0.9752306342124939
156,0.9715534448623657
157,0.9616702198982239
158,0.9619441628456116
159,0.9533573985099792
160,0.9354774951934814
161,0.9542555809020996
162,0.9598604440689087
163,0.9466151595115662
164,0.9624524116516113
165,0.9665219187736511
166,0.9673436880111694
167,0.9499144554138184
168,0.9017153382301331
169,0.9683075547218323
170,0.9602351188659668
171,0.913813591003418
172,0.9523546099662781
173,0.9442283511161804
174,0.964554488658905
175,0.9476346373558044
176,0.9580878615379333
177,0.9721353054046631
